Casting_Temp_C,Cooling_Water_Temp_C,Casting_Speed_m_per_min,Cast_Bar_Entry_Temp_C,Emulsion_Temp_C,Emulsion_Pressure_bar,Emulsion_Concentration_percent,Rod_Quench_Water_Pressure_bar,UTS_MPa,Elongation_percent,Conductivity_IACS
716.9457329,58.28601744,2.54096685,468.8021417,54.38758164,7.975093778,9.067214377,9.238865313,189.6361761,19.55676835,59.69361412
712.9755943,45.65941992,2.532746031,417.5398424,68.41766853,6.685009926,7.958392435,2.414314781,193.3771996,19.47631771,58.77684304
680.747407,48.92864959,2.524597489,454.0634183,59.98396656,13.7397613,9.249691848,4.015418922,202.4162555,21.25803082,62.32323367
663.866973,46.8795714,2.174506985,450.0521635,61.54192275,12.08744983,7.463989487,9.822835789,208.9404729,22,64.48956485
653.3698307,52.5086128,2.919088178,483.2449308,50.12138601,5.4276931,8.820216778,9.057714057,208.7300637,22,65
717.2239004,46.1480749,1.186344416,478.4631531,57.77487322,6.452459322,12.71843132,8.015007354,196.0441816,19.74603863,58.93651444
653.5416981,54.58108439,2.542752331,437.7114615,56.64500171,6.253740637,10.91051506,5.964065463,209.3930167,22,65
741.2976545,50.42490279,2.894220103,457.1211445,61.5573894,8.380316252,9.908859784,6.465030303,182.8430628,18.12512546,56.58798272
729.128903,47.9457216,2.112243111,437.2873849,52.23855652,11.35987438,10.90749913,8.168820089,189.3354554,19.0763351,57.85127779
748.9668583,50.2756132,2.818837967,462.0956846,50.19784615,14.18313673,12.4524242,4.505948504,180.798306,17.98393257,55.61768968
651.0747156,58.1452629,2.189132883,430.7304535,63.4727599,9.257314079,10.89529907,8.240251925,210,22,65
714.9503934,41.48577854,2.951329731,405.5226233,54.86580736,9.608596243,7.558940331,7.095501955,192.3637371,19.56489824,58.83879978
716.9091822,56.77619361,1.767001349,450.306713,50.08518775,14.12535615,10.57095729,4.926238695,192.2710026,19.79943687,59.19051533
664.2272091,52.77937597,1.456519924,438.1752318,56.02396789,14.40659179,11.93709847,2.628021422,209.8064023,22,64.02905003
684.4215688,51.08049459,1.161803138,426.6854981,51.35813875,9.216494961,8.787221214,5.207354135,204.972021,21.51939816,62.18260326
668.3913993,46.25352631,1.355643565,459.9632747,52.42629833,12.43271929,6.076957581,4.873939537,210,22,63.51093034
745.1852884,45.57217075,1.151589709,490.5870654,66.86683518,9.904700466,11.21966593,8.502899732,187.8752102,18.17308093,56.16036967
714.4893269,40.17413821,1.068308684,496.1045096,68.05218487,6.557636127,9.982049822,5.345088537,198.4134482,19.70082822,58.64428308
700.4782247,51.52535317,1.659320813,454.2288016,61.96084208,5.477361432,8.091426822,8.035400134,198.5734995,20.40500776,60.8819852
741.3996186,52.65033723,1.632714882,434.0314294,61.14719872,14.71047245,9.330473415,4.90567229,186.1519023,18.38053212,56.53312223
704.611261,47.67896559,1.790550536,467.632543,61.85775226,5.023634344,6.782647744,8.091710299,197.709177,20.1741718,60.2819932
665.5754971,55.6041227,2.731902284,414.6304704,65.39772704,14.51120991,13.20365375,6.170014589,205.0108195,21.86689015,64.38965789
736.5772157,48.63079323,2.196494744,400.9918819,66.96462475,9.547546714,8.346054207,4.212383351,186.7111924,18.39254777,56.74505643
701.873176,54.84029011,1.319010837,474.0185799,55.11462417,7.688735999,10.68674764,2.182254297,198.5129567,20.54024655,60.32292234
688.0541949,53.15004101,2.327922857,498.9500652,63.18393262,13.16704689,10.11019043,6.332602022,199.9699648,20.86802703,62.03534276
749.6909343,46.30594165,2.576167754,409.771028,61.45393251,14.14288438,5.12612457,4.260990665,182.1030281,17.77114109,55.32230272
715.4263891,57.04737357,1.964720738,442.7796531,55.68009926,10.83540318,9.235772625,2.862178226,192.0684464,19.72213441,59.1459476
721.8674391,53.12759595,2.012101367,475.2266693,52.12967385,10.36674757,6.315721759,5.483416621,190.777945,19.4616143,58.56797755
748.9314018,50.41192146,2.751296032,456.054085,54.58907835,14.82448917,7.03167727,8.966836448,180.9843071,17.91138914,56.07413954
723.3795857,50.45530009,1.590890321,458.3711561,51.697487,8.253783234,6.752137975,6.733772411,192.1223933,19.47889291,58.40818368
692.8543789,55.39009164,2.110384808,468.0368123,59.88539264,7.140318088,12.28072698,6.585961137,198.7345136,20.73749624,61.69266281
654.8156539,44.1308222,2.725962775,490.2578943,66.60214547,9.016704912,6.280707447,9.245659867,210,22,65
670.6740397,56.54324769,2.622802448,431.4223497,57.63642852,14.33226894,13.86174494,2.859030091,203.6207312,21.78900896,63.59566143
701.9998873,51.19863436,1.436478529,431.0956793,50.50243185,6.169120649,10.8929276,8.957664101,198.8508713,20.60266129,60.80570939
653.1711675,49.05597697,1.239272649,487.7324003,64.30517848,8.000703503,9.773452953,5.061898499,210,22,65
667.0256387,40.69546917,1.607012065,461.8066753,55.61880545,7.253506388,9.817064042,9.407325099,210,22,63.8229421
656.9215863,41.87707467,2.951172012,442.7068705,65.99657151,13.86351026,5.663419934,7.093111631,209.6945931,22,64.66100626
729.7860764,49.09677365,2.251841557,433.480069,56.85829156,13.08113213,5.779968291,9.205571627,188.4892977,18.92316204,57.94678821
681.9948165,58.09617924,1.41348593,452.6980039,62.9803149,8.188804244,10.87545297,7.675041102,203.5418614,21.35795569,63.02283143
726.9164673,48.8192749,2.840995678,440.2793194,58.97478077,12.07478856,11.60921107,8.098468236,187.6382178,18.90648189,58.10916384
720.5190282,45.12834556,1.319988543,422.0984379,57.7162994,8.481076242,11.91323471,3.735632704,194.8586568,19.55572489,58.12807773
691.7875039,51.83612168,1.44352975,400.8519454,63.15786194,6.862767771,12.39494311,7.693288142,201.7659352,20.85876162,61.73238451
748.0088918,40.58772558,1.328255914,491.8506874,69.13946819,14.59795111,10.69762752,7.532594087,187.4950196,17.95111486,55.53175651
722.1601879,46.18028315,1.809204012,466.0203669,64.15045715,9.424270527,7.903449587,9.550562374,192.688275,19.24714066,58.59805161
718.8957221,59.74707231,2.434381963,488.1975456,69.11855629,9.433996255,6.599317879,7.054246352,189.078723,19.18596637,59.35320604
686.939518,50.19687972,2.656617771,498.4203372,63.4997695,12.49239582,13.04838974,5.292863813,199.9089153,20.85170516,61.89517857
729.8301282,43.2178608,2.115536928,430.9341938,55.09013268,12.12010656,14.22137872,3.847631486,190.0607786,18.98358355,57.11264337
662.9704935,49.56196033,1.2233072,452.4388953,60.30610659,14.88657665,9.442325478,3.18344549,210,22,64.04939322
737.216835,58.07140532,1.241479219,412.6847988,57.66577753,7.939137091,10.45342388,5.772689962,187.4962308,18.73754686,57.30915576
